game_id,game_dt,short_name,notes,venue_id,game_dt_local,game_dt_dow,attendance,neutral_site,team_id,team_abbr,score,opponent_team_id,opponent_team_abbr,opponent_score,winner,canceled
401471113,2023-04-07T02:10Z,LAD @ ARI,,30,2023-04-06T19:10:00-07:00,Thursday,48034,0,29,ARI,2,19,LAD,5,0,0
401471121,2023-04-08T01:40Z,LAD @ ARI,,30,2023-04-07T18:40:00-07:00,Friday,30249,0,29,ARI,6,19,LAD,3,1,0
401471134,2023-04-09T00:10Z,LAD @ ARI,,30,2023-04-08T17:10:00-07:00,Saturday,26881,0,29,ARI,12,19,LAD,8,1,0
401471149,2023-04-09T20:10Z,LAD @ ARI,,30,2023-04-09T13:10:00-07:00,Sunday,18543,0,29,ARI,11,19,LAD,6,1,0
401471166,2023-04-11T01:40Z,MIL @ ARI,,30,2023-04-10T18:40:00-07:00,Monday,12681,0,29,ARI,3,8,MIL,0,1,0
401471181,2023-04-12T01:40Z,MIL @ ARI,,30,2023-04-11T18:40:00-07:00,Tuesday,17069,0,29,ARI,1,8,MIL,7,0,0
401471196,2023-04-12T19:40Z,MIL @ ARI,,30,2023-04-12T12:40:00-07:00,Wednesday,13136,0,29,ARI,7,8,MIL,3,1,0
401471304,2023-04-21T01:40Z,SD @ ARI,,30,2023-04-20T18:40:00-07:00,Thursday,16734,0,29,ARI,5,25,SD,7,0,0
401471316,2023-04-22T01:40Z,SD @ ARI,,30,2023-04-21T18:40:00-07:00,Friday,21308,0,29,ARI,9,25,SD,0,1,0
401471331,2023-04-23T00:10Z,SD @ ARI,,30,2023-04-22T17:10:00-07:00,Saturday,28419,0,29,ARI,3,25,SD,5,0,0
401471346,2023-04-23T20:10Z,SD @ ARI,,30,2023-04-23T13:10:00-07:00,Sunday,23655,0,29,ARI,5,25,SD,7,0,0
401471356,2023-04-25T01:40Z,KC @ ARI,,30,2023-04-24T18:40:00-07:00,Monday,9815,0,29,ARI,5,7,KC,4,1,0
401471367,2023-04-26T01:40Z,KC @ ARI,,30,2023-04-25T18:40:00-07:00,Tuesday,13835,0,29,ARI,4,7,KC,5,0,0
401471382,2023-04-26T19:40Z,KC @ ARI,,30,2023-04-26T12:40:00-07:00,Wednesday,14343,0,29,ARI,2,7,KC,0,1,0
401471506,2023-05-06T01:40Z,WSH @ ARI,,30,2023-05-05T18:40:00-07:00,Friday,16384,0,29,ARI,3,20,WSH,1,1,0
401471521,2023-05-07T00:10Z,WSH @ ARI,,30,2023-05-06T17:10:00-07:00,Saturday,27345,0,29,ARI,8,20,WSH,7,1,0
401471536,2023-05-07T20:10Z,WSH @ ARI,,30,2023-05-07T13:10:00-07:00,Sunday,17174,0,29,ARI,8,20,WSH,9,0,0
401471543,2023-05-09T01:40Z,MIA @ ARI,,30,2023-05-08T18:40:00-07:00,Monday,9071,0,29,ARI,5,28,MIA,2,1,0
401471555,2023-05-10T01:40Z,MIA @ ARI,,30,2023-05-09T18:40:00-07:00,Tuesday,13608,0,29,ARI,2,28,MIA,6,0,0
401471570,2023-05-10T19:40Z,MIA @ ARI,,30,2023-05-10T12:40:00-07:00,Wednesday,10482,0,29,ARI,4,28,MIA,5,0,0
401471583,2023-05-12T01:40Z,SF @ ARI,,30,2023-05-11T18:40:00-07:00,Thursday,15582,0,29,ARI,2,26,SF,6,0,0
401471596,2023-05-13T01:40Z,SF @ ARI,,30,2023-05-12T18:40:00-07:00,Friday,19266,0,29,ARI,7,26,SF,5,1,0
